Interview,Hired,appdate,Calculated Age,SEX,RESIDENCE,GPA undergrad,GPA GRAD,Masters Teaching,Long term sub,Student Teaching,Work Experience,Former Jobs with Children,Volunteer in Schools
yes ,yes,1999,30,Female,2,2.93,3.67,yes,yes,yes,6,yes,no
yes,yes,1999,33,Female,2,N/A,3.73,no,no,yes,12,no,no
yes ,yes ,1999,29,Female,2,N/A,N/A,yes,no,yes,1,no,no
yes ,yes ,1997,31,Female,1,N/A,3.21,yes,no,yes,11,yes,no
yes ,yes*,2000,43,F,2,3.52,3.89,yes,no,yes,0,no,yes
yes ,yes*,2003,49,F,2,,,no,yes,yes,21,no,no
yes,yes*,2000,46,F,1,N/A,N/A,no,no,yes,8,no,no
yes ,yes*,2002,42,F,1,3.86,3.88,yes,no,yes,13,no,no
yes,yes*,2001,40,M,1,3.66,N/A,no,no,yes,15,no,no
yes,yes*,2000,39,M,1,N/A,3.93,no,no,yes,20,no,no
yes,yes,2003,55,Female,1,N/A,3.94,yes,no,no,1,no,no
yes ,yes ,2000,30,Female,1,N/A,3.95,yes,no,yes,2 months,yes,no
yes ,yes,2002,22,Female,1,3.55,N/A,no,no,yes,8,yes,no
yes,yes,2004,23,Female,1,3.19,N/A,no,no,yes,6,yes,no
yes ,yes ,2004,35,Female,1,3.49,4,yes,no,no,0,no,no
yes,yes,1999,23,Female,2,3,N/A,no,no,yes,4,yes,no
yes ,yes,1998,27,Female,1,3.17,N/A,no,no,yes,10,no,no
yes ,yes ,1999,28,Male,2,2.73,3.56,yes,no,yes,9,yes,no
yes ,yes ,1999,27,Female,2,N/A,3.59,yes,no,yes,4,no,no
yes ,yes ,2002,24,Female,2,3.09,3.82,yes,no,yes,5,no,no
yes ,yes,1999,24,Female,1,3.26,N/A,no,yes,yes,0,no,no
yes ,yes ,1998,27,Female,1,N/A,9.97,yes,yes,yes,13,no,no
yes ,yes,1999,24,Female,2,3.75,N/A,no,yes,yes,0,no,no
yes ,yes,1997,27,Female,1,3.12,N/A,no,no,yes,6,yes,no
yes ,yes ,2000,N/A,Female,2,3.64,2.87,yes,no,no,0,no,no
yes ,yes,2004,26,Female,1,3.55,N/A,no,yes,yes,2,yes,no
yes,yes ,2001,38,Female,2,3.13,N/A,no,no,yes,9,yes,no
yes ,yes ,1999,25,Female,2,3.83,N/A,no,no,yes,2,yes,no
yes ,yes,1999,25,Female,1,3.11,4,yes,no,yes,1,no,no
yes,yes,1999,28,Female,1,3.38,3.98,yes,no,yes,5,no,no
no,no,2003,28,Female,2,2.6,3.96,yes,yes,yes,6,no,no
no,no,2003,23,Female,2,3.4,N/A,no,no,yes,7,yes,no
no,no,2004,N/A,Female,2,N/A,N/A,no,no,no,3,no,no
no,no,2004,26,Female,2,3.15,3.82,yes,yes,yes,6,no,no
no,no,2004,N/A,Female,1,3.34,N/A,no,no,no,0,no,no
no,no,2003,23,Female,2,3.64,N/A,no,no,yes,4,yes,no
no,no,2004,39,Female,2,2.9,N/A,no,no,yes,1,no,no
no,no,2004,25,Female,2,2.66,3.93,yes,no,yes,5,yes,no
no,no,2004,24,Female,2,N/A,3.87,pending,no,yes,3,no,no
no,no,2003,26,Female,2,3.4,N/A,no,no,yes,0,no,yes
no,no,2004,31,Female,2,N/A,3.77,yes,yes,yes,0,no,no
no,no,2003,32,Female,2,3.8,3.87,yes,no,yes,12,yes,no
no,no,2004,24,Female,2,3.98,N/A,no,no,yes,8,no,no
no,no,2004,27,Male,2,N/A,4,yes,no,yes,3,no,no
no,no,2004,26,Female,2,3.66,4,yes,no,yes,1,no,no
no,no,2004,33,Male,2,2.93,N/A,yes,no,yes,17,no,no
no,no,2004,24,Female,2,3.42,N/A,no,no,yes,7,yes,no
no,no,2003,36,Female,2,3.42,3.23,yes,no,yes,5,yes,no
no,no,2004,27,Female,2,3,N/A,no,no,yes,3,yes,no
no,no,2004,24,Female,2,3.83,N/A,no,yes,yes,2,yes,no
no,no,2004,37,Female,2,2.68,3.9,yes,no,yes,0,no,no
no,no,2003,27,Male,2,3,N/A,pending,yes,yes,2,no,no
no,no,2004,22,Female,3,3.75,N/A,no,no,yes,0,no,no
no,no,2004,23,Female,2,2.95,N/A,no,no,no,0,no,yes
no,no,2004,N/A,Female,2,3.46,3.95,yes,no,yes,0,no,no
no,no,2003,25,Male,2,3.03,N/A,no,no,yes,2,yes,no
no,no,N/A,N/A,Female,2,N/A,N/A,no,no,yes,8,yes,no
no,no,2003,28,Female,3,3.17,N/A,no,no,yes,11,yes,no
no,no,2003,26,Female,3,2.68,N/A,no,no,yes,3,yes,no
no,no,2003,31,Female,2,3.08,3.59,yes,yes,yes,8,no,no
no,no,2004,27,Female,2,3.9,N/A,no,no,yes,3,yes,no
no,no,2002,37,Female,2,2.97,2.83,yes,yes,yes,5,no,no
no,no,2003,31,Female,2,3.66,N/A,no,no,yes,4,no,no
no,no,2003,34,Female,2,3.5,3.88,yes,no,yes,10,yes,no
no,no,2004,38,Female,1,3.49,3.74,no,no,yes,5,no,no
no,no,2004,N/A,Female,2,3.12,N/A,no,no,yes,2,yes,no
no,no,2004,24,Female,2,N/A,N/A,no,yes,yes,6,yes,no
no,no,2003,25,Female,2,3.47,N/A,no,yes,yes,0,no,no
no,no,2004,25,Female,2,2.92,N/A,no,yes,yes,0,no,no
no,no,2003,25,Female,2,2.97,3.78,yes,no,yes,7,yes,no
no,no,2003,30,Female,2,3.3,N/A,no,no,no,4,no,no
no,no,2003,N/A,Female,2,3.21,N/A,no,no,yes,0,no,no
no,no,2004,31,Male,1,3.32,3.61,yes,no,yes,8,no,no
no,no,2004,23,Female,2,3.2,N/A,no,no,yes,8,no,no
no,no,2004,23,Female,2,4,N/A,no,no,yes,5,no,no
no,no,2003,23,Female,2,3.56,N/A,no,yes,yes,7,yes,no
no,no,2004,28,Female,3,3.22,N/A,no,no,yes,8,yes,no
no,no,2004,25,Female,2,3.17,3.95,yes,no,yes,3,no,yes
no,no,2003,24,Female,2,N/A,N/A,no,no,yes,4,no,no
no,no,2004,41,Male,2,N/A,3.77,yes,no,yes,5,no,no
no,no,2004,49,Female,2,2.78,N/A,yes,no,yes,0,no,no
no,no,2004,54,Female,2,2.87,4,yes,no,yes,7,yes,no
no,no,2004,44,Female,2,2.66,3.76,yes,no,yes,0,no,no
no,no,2004,42,Female,2,3.04,N/A,no,no,yes,13,no,no
no,no,2003,49,Female,2,3.62,N/A,no,no,yes,0,no,no
no,no,2003,43,Female,2,2.96,N/A,no,yes,yes,8,no,no
no,no,2004,47,Female,2,N/A,N/A,no,no,yes,24,yes,no
no,no,2003,41,Female,1,3.38,4,yes,no,yes,6,no,no
no,no,2003,46,Female,1,2.98,N/A,yes,no,no,0,no,no
no,no,2003,N/A,Female,2,3.06,N/A,no,no,yes,15,no,no
no,no,2004,43,Female,2,2.83,N/A,no,no,yes,19,no,no
no,no,2004,51,Female,3,N/A,N/A,yes,yes,yes,0,no,no
no,no,2003,54,Female,2,N/A,N/A,no,no,yes,23,no,no
no,no,2003,57,Female,2,2.69,N/A,yes,no,yes,1,no,no
no,no,2004,47,Female,2,N/A,N/A,yes,no,yes,29,yes,no
no,no,2004,56,Male,2,3.74,3.9,yes,no,yes,11,no,no
no,no,2004,47,Female,2,N/A,N/A,pending,no,yes,12,yes,no
no,no,2004,57,Female,2,2.61,N/A,no,yes,no,21,no,no
no,no,2004,43,Female,1,3.77,3.95,yes,yes,yes,12,yes,no
no,no,2003,42,Male,2,3.75,3.87,yes,no,yes,3,no,no
no,no,2004,41,Male,3,3.49,N/A,no,no,yes,4,yes,no
no,no,2004,42,Female,2,N/A,3.92,yes,no,yes,0,no,no
no,no,2003,41,Female,2,3.72,4.14,yes,no,yes,16,no,no
no,no,2003,N/A,Female,2,2.64,3.86,no,no,yes,0,no,no
no,no,2004,46,Female,2,3.22,3.94,yes,no,yes ,23,yes,no
no,no,2003,41,Female,1,3.05,3.95,yes,no,yes,9,no,no
no,no,2004,47,Female,1,3.82, N/A,no,no,no,14,no,no
no,no,2004,44,Female,2,3.12,4,pending,no,yes,17,yes,no
no,no,2003,40,Female,2,N/A,N/A,no,no,yes,7,no,no
no,no,2003,46,Female,2,N/A,3.7,yes,no,yes,0,no,no
no,no,2004,41,Female,1,3.63,3.96,yes,no,yes,16,no,no
no,no,2004,43,Female,2,3.04,3.91,yes,no,yes,7,no,no
