Interview,Hired,appdate,Calculated Age,SEX,RESIDENCE,GPA undergrad,GPA GRAD,Masters Teaching,Long term sub,Student Teaching,Work Experience,Former Jobs with Children,Volunteer in Schools
no,no,2003,30,Female,2,3.03,N/A,yes,no,yes,2,yes,no
no,no,2004,24,Female,2,N/A,N/A,no,no,yes,1,no,no
no,no,2002,23,Female,2,3.21,N/A,no,yes,yes,8,no,no
no,no,2003,24,Female,2,3.38,N/A,no,no,yes,6,no,yes
no,no,2003,27,Female,2,3.36,3.98,yes,no,yes,6,yes,no
no,no,2003,23,Female,2,3.6,4.1,yes,no,yes,4,yes,no
no,no,2003,38,Female,2,N/A,3.66,yes,yes,yes,11,no,no
no,no,2003,22,Female,2,3.76,N/A,no,no,yes,3 months,yes,no
no,no,2005,N/A,Female,3,3.5,N/A,no,no,yes,10,yes,no
no,no,2004,26,Female,2,2.96,3.75,yes,no,yes,6,yes,no
no,no,2004,30,Female,2,3.64,N/A,no,no,yes,8,no,no
no,no,2004,24,Female,2,3.1,N/A,no,no,yes,5,no,no
no,no,2004,N/A,Female,2,3.08,N/A,no,yes,yes,2,yes,no
no,no,2003,N/A,Female,2,3.16,N/A,yes,yes,yes,2,yes,no
no,no,2004,N/A,Female,2,N/A,3.81,yes,no,yes,0,no,no
no,no,2004,31,Female,1,2.6,3.76,yes,yes,yes,1,yes,no
no,no,2003,24,Female,2,3.81,N/A,yes,no,yes,2,yes,no
no,no,2003,27,Female,2,3.01,3.79,yes,yes,yes,6,yes,no
no,no,2004,N/A,Female,2,3.28,N/A,no,no,yes,6,no,no
no,no,2003,56,Female,2,N/A,N/A,yes,yes,yes,17,no,no
no,no,2003,27,Female,2,3.09,4,yes,yes,yes,2,no,no
no,no,2004,30,Male,1,3.4,4.06,yes,no,yes,11,no,no
no,no,2004,24,Female,2,3.02,N/A,no,no,yes,1,yes,no
no,no,2004,N/A,Female,2,3.26,3.87,yes,no,yes,4,yes,yes
no,no,2003,24,Female,2,3.68,3.85,yes,yes,yes,5,yes,no
no,no,2004,36,Male,2,2.8,N/A,no,no,yes,12,no,no
no,no,2003,26,Female,2,3.3,N/A,yes,no,yes,0,no,no
no,no,2004,24,Female,2,3.39,4,yes,yes,yes,5,yes,no
no,no,2004,23,Female,2,3.48,N/A,no,no,yes,4,yes,no
no,no,2004,25,Female,2,3,N/A,yes,no,yes,5,no,no
no,no,2004,34,Female,1,2.33,3.87,yes,no,yes,15,no,no
no,no,2003,25,Female,2,3.21,3.88,yes,no,yes,9,no,no
no,no,2004,32,Female,2,4.4,4,yes,yes,yes,7,no,no
no,no,2004,24,Female,2,N/A,3.97,yes,no,yes,2,no,no
no,no,2004,33,Male,1,2.69,3.47,yes,no,yes,6,yes,no
no,no,2003,N/A,Female,2,4,N/A,no,no,yes,9,no,yes
no,no,2003,31,Female,2,3.44,3.91,yes,yes,yes,8,no,no
no,no,2003,24,Female,2,3.42,N/A,no,yes,yes,5,yes,no
no,no,2004,N/A,Female,2,N/A,N/A,yes,no,no,0,no,no
no,no,2004,30,Female,2,2.32,3.73,yes,no,yes,0,no,no
no,no,2004,N/A,Female,3,3,N/A,no,no,yes,0,no,no
no,no,2003,N/A,Female,2,3.2,N/A,no,no,yes,5,no,no
no,no,2003,28,Female,3,3.51,3.66,yes,no,yes,0,no,no
no,no,2004,31,Female,2,3.29,N/A,yes,yes,no,2,yes,no
no,no,2004,23,Female,2,3.31,N/A,no,yes,yes,0,no,no
no,no,2004,N/A,Female,1,3.2,N/A,no,no,no,4,no,no
no,no,2004,25,Female,3,3.55,N/A,yes,no,yes,0,no,no
no,no,2004,28,Female,2,2.94,3.7,yes,no,yes,8,no,no
no,no,2003,24,Female,3,3.24,N/A,no,no,yes,4,yes,no
no,no,2004,30,Female,2,3.58,3.94,yes,yes,yes,1,no,no
no,no,2004,24,Female,3,3.55,N/A,no,no,yes,8,yes,no
no,no,2003,23,Female,2,3.44,N/A,no,no,yes,8,no,no
no,no,2004,23,Female,2,2.9,N/A,no,no,yes,8,no,no
no,no,2004,24,Female,2,3.22,N/A,no,yes,yes,5,yes,no
no,no,2004,23,Female,2,3.16,N/A,no,no,yes,3,no,no
no,no,2004,24,Female,2,N/A,N/A,no,no,yes,0,no,no
no,no,2004,24,Female,2,2.99,3.84,yes,no,yes,8,yes,no
no,no,2004,24,Female,2,N/A,N/A,no,yes,yes,2,yes,no
no,no,2004,33,Female,2,3.42,N/A,no,no,yes,9,yes,no
no,no,2003,23,Female,2,3.86,N/A,no,no,yes,2,yes,no
no,no,2003,23,Female,2,3.12,N/A,no,no,yes,6,no,no
no,no,2004,24,Male,2,3.32,N/A,no,no,yes,8,yes,no
no,no,2003,30,Male,2,2.61,N/A,yes,no,yes,6,yes,no
no,no,2004,35,Female,2,3.77,N/A,no,yes,yes,2,yes,no
no,no,2003,22,Female,2,3.32,N/A,no,no,yes,6,no,no
no,no,2004,23,Female,2,3.33,N/A,no,no,yes,7,no,no
no,no,2003,28,Male,2,N/A,3.47,no,no,yes,9,yes,no
no,no,2003,26,Female,3,N/A,N/A,no,no,yes,2,no,no
no,no,2003,27,Female,2,3.3,4,yes,no,yes,5,no,no
no,no,2004,23,Female,2,3.28,N/A,no,no,yes,5,yes,no
no,no,2003,N/A,Female,2,3,3.84,yes,no,yes,4,yes,no
no,no,2004,26,Female,2,3.01,3.83,yes,no,yes,10,no,no
no,no,2004,24,Female,2,2.96,3.88,yes,no,yes,5,yes,no
no,no,2004,24,Female,2,2.97,N/A,yes,no,yes,1,no,no
no,no,2003,23,Female,2,3.73,N/A,no,no,yes,4,yes,no
no,no,2003,N/A,Female,2,N/A,N/A,yes,yes,no,0,no,no
no,no,2004,27,Female,2,3.14,3.59,yes,no,yes,0,no,no
no,no,2003,27,Female,2,3.88,3.58,yes,no,yes,6,no,no
no,no,2002,25,Female,2,2.48,N/A,no,no,yes,7,no,no
no,no,2003,23,Female,1,3.22,N/A,yes,no,yes,3,no,no
no,no,2004,26,Female,2,2.87,N/A,no,yes,yes,10,yes,no
no,no,2003,N/A,Female,2,N/A,N/A,no,yes,no,0,no,no
no,no,2003,34,Female,2,2.76,N/A,yes,no,yes,9,no,no
no,no,2002,22,Female,1,3.79,N/A,no,yes,yes,6,yes,no
no,no,2004,24,Female,2,3.23,N/A,no,no,yes,4,no,no
no,no,2003,N/A,Female,2,N/A,3.7,no,no,yes,9,yes,no
no,no,2003,27,Female,2,3.21,N/A,no,no,no,3,yes,no
no,no,2004,28,Female,1,2.69,3.83,yes,no,yes,1,yes,no
no,no,2003,34,Female,2,2.73,N/A,no,no,yes,8,yes,no
no,no,2004,23,Female,2,3.56,4.08,yes,no,yes,9,yes,no
no,no,2002,23,Female,2,N/A,3.8,yes,no,yes,2,yes,no
no,no,2003,24,Female,2,3.3,N/A,no,no,yes,1,no,no
no,no,2003,23,Female,2,3.09,N/A,no,yes,yes,6,no,no
no,no,2004,27,Female,2,2.96,N/A,no,no,yes,4,no,no
no,no,2004,N/A,Female,2,3.78,N/A,no,no,yes,1,yes,no
no,no,2003,N/A,Female,3,3.51,N/A,no,no,yes,2,yes,no
no,no,2003,30,Female,2,3.33,3.95,yes,no,no,1,no,no
no,no,2003,38,Female,2,2.42,N/A,no,no,yes,14,no,no
no,no,2003,N/A,Female,2,2.91,N/A,no,no,yes,1,no,no
no,no,2004,24,Female,2,3.53,3.87,yes,no,yes,3,yes,no
no,no,2004,24,Female,2,2.94,N/A,no,no,yes,9,yes,no
no,no,2004,26,Female,2,3.01,N/A,no,no,yes,0,no,no
no,no,2004,26,Female,2,3.93,N/A,no,no,yes,1,no,no
no,no,2004,23,Female,2,3.29,3.93,yes,no,yes,8,yes,no
no,no,2003,28,Female,2,3.29,N/A,no,no,yes,6,yes,no
no,no,2004,28,Female,2,N/A,N/A,no,no,yes,7,no,no
no,no,2004,30,Female,2,3.74,4,yes,no,yes,8,no,no
no,no,2003,27,Male,2,3.51,4.05,yes,no,yes,9,yes,no
no,no,2004,23,Female,2,3.52,3.78,yes,no,yes,5 months,no,no
no,no,2004,38,Male,2,3.81,N/A,no,yes,yes,13,yes,no
no,no,2004,29,Female,2,2.86,3.95,yes,no,no,0,no,no
no,no,2004,24,Female,2,3.75,3.93,yes,yes,yes,12,yes,no
no,no,2004,36,Female,2,3.7,3.84,yes,no,yes,2,no,no
no,no,2004,33,Female,2,2.77,N/A,yes,no,yes,4,no,no
no,no,2004,31,Female,2,N/A,3.74,yes,yes,yes,2,yes,no
no,no,2003,27,Female,2,3.55,N/A,no,no,yes,3,yes,no
no,no,2004,28,Female,2,2.34,3.97,yes,no,yes,3,yes,no
no,no,2004,N/A,Female,2,N/A,N/A,no,no,yes,3,yes,no
no,no,2003,29,Female,3,2.79,N/A,no,no,yes,5,no,no
no,no,2003,25,Female,2,3.84,4,yes,no,yes,6,no,no
no,no,2004,39,Male,2,3.93,3.92,yes,yes,yes,10,no,no
no,no,2004,22,Female,2,3.53,N/A,no,no,yes,0,no,no
no,no,2004,23,Female,2,3.52,3.89,yes,no,yes,0,no,no
no,no,2003,26,Female,2,3.6,3.93,yes,no,yes,8,yes,no
no,no,2003,24,Female,2,3.6,3.99,yes,no,yes,0,no,no
no,no,2004,35,Female,2,N/A,4,yes,no,yes,16,yes,no
no,no,2004,22,Female,1,3.67,N/A,no,no,yes,7,yes,no
no,no,2004,24,Female,3,3.39,3.9,yes,no,yes,4 months,no,no
no,no,2003,26,Female,2,3.2,4.02,yes,no,yes,1,no,no
no,no,2003,33,Female,2,3.89,N/A,no,no,yes,7,yes,no
no,no,2004,30,Female,2,2.79,N/A,no,no,yes,6,yes,no
no,no,2004,34,Female,2,2.57,N/A,no,yes,yes,8,yes,no
no,no,2004,22,Female,2,3.49,N/A,no,no,yes,8,yes,no
no,no,2003,27,Female,2,3.26,3.87,yes,yes,yes,2,yes,no
no,no,2003,26,Female,1,3.43,N/A,no,yes,no,0,no,no
no,no,2003,33,Female,2,3.42,4,yes,no,yes,7,yes,no
no,no,2004,23,Male,2,3.48,N/A,no,no,yes,5,yes,no
no,no,2003,26,Female,2,4,N/A,no,no,yes,0,no,no
no,no,2003,23,Female,2,3.27,N/A,no,no,yes,4,no,no
no,no,2004,27,Female,3,2.96,3.62,yes,no,yes,12,yes,no
no,no,2004,26,Female,2,4,3.97,yes,yes,yes,3,no,no
no,no,2002,23,Female,3,3.11,N/A,no,no,yes,5,yes,no
no,no,2004,22,Female,2,3.37,N/A,no,no,yes,4,yes,no
no,no,2003,23,Female,2,3.18,3.83,yes,no,yes,4,yes,no
no,no,2004,23,Female,1,3.04,N/A,no,no,yes,0,no,no
no,no,2004,25,Male,2,3.48,3.28,yes,no,yes,4,no,no
no,no,2003,24,Female,2,3.14,N/A,no,no,yes,8,yes,no
no,no,2003,23,Female,2,3.52,3.3,yes,no,yes,2,no,no
no,no,2004,30,Female,1,3.41,N/A,no,no,yes,8,yes,no
no,no,2004,36,Female,3,3.4,4,yes,no,yes,10,no,no
no,no,2003,36,Female,2,3.03,3.88,yes,yes,yes,0,no,no
no,no,2004,22,Female,2,3.67,N/A,no,no,yes,5,no,no
no,no,2003,23,Female,2,3.67,N/A,no,no,yes,5,no,no
no,no,2004,23,Female,3,3.75,N/A,no,no,yes,0,no,no
no,no,2003,23,Female,2,3.47,3.93,yes,no,yes,3,no,no
no,no,2003,34,Female,3,3.78,N/A,no,no,yes,6,yes,no
no,no,2004,28,Female,2,N/A,N/A,no,no,yes,0,no,no
no,no,2004,26,Male,2,2.53,N/A,yes,yes,yes,2,no,no
no,no,2003,24,Female,2,3.57,N/A,no,no,yes,1,yes,no
no,no,2004,23,Female,2,3.39,N/A,no,no,yes,6,no,no
no,no,2003,24,Female,2,3.75,N/A,no,no,yes,1,no,no
no,no,2004,27,Female,2,3.42,N/A,no,yes,yes,1,no,no
no,no,2004,N/A,Female,2,3.29,N/A,no,yes,yes,4,yes,no
no,no,2004,N/A,Female,2,3.6,4.03,yes,no,yes,0,no,yes
no,no,2004,38,Female,2,3.47,3.33,yes,yes,yes,9 months,yes,no
no,no,2003,29,Female,2,N/A,4,no,no,yes,5,yes,no
no,no,2003,22,Female,2,3.94,N/A,no,no,yes,7,yes,no
no,no,2004,24,Female,2,2.81,N/A,no,no,yes,6,no,no
no,no,2003,36,Female,2,N/A,N/A,no,no,yes,21,yes,no
no,no,2003,25,Female,2,3.48,3.73,yes,no,yes,6,no,no
no,no,2004,26,Female,2,N/A,N/A,yes,no,yes,8,yes,no
no,no,2004,37,Female,2,3.4,N/A,no,no,yes,2,no,no
no,no,2003,28,Female,2,2.92,N/A,no,no,yes,1,yes,no
no,no,2004,N/A,Female,2,3.66,N/A,no,no,no,3 months,yes,no
no,no,2004,23,Female,2,3.21,3.93,yes,yes,yes,2,yes,no
no,no,2003,37,Female,1,2.9,3.95,yes,no,yes,3 months,yes,no
no,no,2004,23,Female,2,2.84,N/A,no,no,yes,4,yes,no
no,no,2004,24,Female,2,3.24,N/A,no,yes,yes,7,no,no
no,no,2003,25,Female,2,3.35,N/A,no,no,yes,8,yes,no
no,no,2004,36,Female,1,3.72,N/A,no,no,yes,14,no,no
no,no,2004,25,Female,2,2.8,N/A,no,no,yes,8,yes,no
no,no,2002,36,Female,2,3.22,3.9,yes,no,yes,0,no,no
no,no,2003,31,Female,2,3.1,3.97,yes,no,yes,14,no,no
no,no,2003,28,Female,2,2.56,3.94,yes,yes,yes,0,no,no
no,no,2003,29,Male,2,3,4,yes,yes,yes,1,no,no
no,no,2003,24,Female,2,3.52,N/A,no,no,yes,5,yes,no
no,no,2004,28,Female,3,NA,N/A,no,no,no,5,yes,no
no,no,2004,N/A,Female,2,3.1,N/A,no,no,yes,0,no,no
no,no,2003,24,Female,3,2.67,N/A,no,no,yes,3 months,no,no
no,no,2003,23,Female,1,2.92,N/A,no,no,yes,7,yes,no
no,no,2003,23,Female,2,3.04,N/A,no,no,yes,6,yes,no
no,no,2004,24,Female,2,3.24,N/A,no,yes,yes,0,no,no
no,no,2004,30,Female,2,2.96,N/A,no,no,yes,2,yes,no
no,no,2004,32,Female,2,3.06,N/A,no,no,yes,4,no,no
no,no,2003,23,Female,2,3.91,N/A,no,no,yes,6,yes,no
no,no,2004,N/A,Female,1,N/A,N/A,yes,no,yes,0,no,no
no,no,2004,24,Female,3,3.77,NA,yes,no,yes,2,yes,no
no,no,2004,37,Female,2,3.7,N/A,no,no,yes,15,no,no
no,no,2004,23,Female,2,3.84,N/A,no,no,yes,2,no,no
no,no,2004,28,Female,2,2.65,3.82,yes,yes,yes,4,no,no
no,no,2003,33,Female,2,3.66,N/A,no,yes,yes,6,no,no
no,no,2003,26,Female,2,3.1,N/A,no,yes,yes,1,no,no
no,no,2004,27,Female,2,2.8,N/A,no,no,yes,6,yes,no
no,no,2004,N/A,Female,2,3.07,3.63,no,no,yes,0,no,no
no,no,2003,25,Female,3,3.5,3.8,yes,no,no,0,no,no
no,no,2004,24,Female,2,2.85,3.45,yes,no,yes,1,yes,no
no,no,2004,23,Female,2,3.58,N/A,no,no,yes,5,yes,no
no,no,2003,22,Female,2,3.91,4.06,yes,no,yes,3,yes,no
no,no,2003,22,Female,2,3.33,N/A,no,no,yes,6,no,no
no,no,2004,25,Female,1,2.97,N/A,no,no,yes,4,yes,no
no,no,2003,26,Female,2,3.31,N/A,no,no,yes,7,yes,no
no,no,2004,N/A,Female,2,3.52,3.81,yes,no,no,0,no,no
no,no,2004,24,Female,3,3.3,3.9,yes,no,yes,6,no,no
no,no,2004,29,Male,2,3.79,4,yes,no,yes,12,yes,no
no,no,2003,23,Female,2,3.6,4,yes,no,yes,0,no,yes
no,no,2004,23,Female,2,3.26,N/A,no,no,yes,2,yes,no
no,no,2004,35,Female,2,3.84,4.01,yes,yes,yes,2,no,no
no,no,2004,NA,Male,2,N/A,N/A,yes,no,yes,8,no,no
no,no,2003,23,Female,2,3.51,N/A,no,yes,yes,4,no,no
no,no,2003,28,Female,2,3.88,N/A,no,no,yes,1,no,no
no,no,2004,29,Female,2,2.32,N/A,no,no,yes,0,no,no
no,no,2003,24,Female,2,3.64,N/A,no,no,yes,4,no,no
no,no,2002,23,Female,2,3.61,N/A,no,no,yes,3,no,no
no,no,2004,22,Female,2,3.47,N/A,no,no,yes,3,yes,no
no,no,2004,28,Female,2,3.09,N/A,no,no,yes,11,no,no
no,no,2004,N/A,Female,2,3.63,N/A,no,no,no,0,no,no
no,no,2004,26,Female,2,2.94,N/A,no,yes,yes,0,no,no
no,no,2003,NA,Female,2,3.8,N/A,no,no,yes,7,yes,no
no,no,2004,39,Female,2,3.63,N/A,no,no,yes,4,no,no
no,no,2003,23,Female,2,3.8,4.1,yes,no,yes,1,no,no
no,no,2004,N/A,Female,2,3.75,4,yes,no,yes,6,no,no
no,no,2005,24,Female,1,3.23,3.91,yes,no,yes,3,no,no
no,no,2004,N/A,Female,2,N/A,N/A,no,no,no,0,no,no
no,no,2005,25,Female,2,2.8,3.95,yes,no,yes,0,no,no
no,no,2004,30,Male,2,2.75,N/A,no,yes,yes,5,no,no
no,no,2003,25,Female,2,3,N/A,no,no,yes,6,yes,no
no,no,2003,N/A,Female,2,3.76,N/A,no,no,yes,6,no,no
no,no,2005,N/A,Female,1,N/A,N/A,no,yes,no,0,no,no
no,no,2003,32,Male,3,N/A,2.8,no,no,yes,7,yes,no
no,no,2004,25,Female,2,3.45,3.89,yes,no,yes,5,yes,no
no,no,2003,N/A,Female,2,N/A,3.41,no,yes,yes,4,yes,no
no,no,2004,24,Female,2,3.66,N/A,no,yes,yes,5,yes,no
no,no,2004,28,Female,2,2.57,3.94,yes,yes,yes,11 months,yes,no
no,no,2004,29,Female,2,N/A,3.89,yes,yes,yes,4,yes,no
no,no,2003,30,Female,2,3.09,N/A,no,no,yes,0,yes,no
no,no,2003,24,Female,2,3.75,N/A,no,no,yes,2,yes,no
no,no,2004,26,Female,2,3.04,N/A,no,yes,yes,0,yes,no
no,no,2003,36,Female,3,3.6,N/A,no,yes,no,9 months,yes,no
no,no,2003,34,Female,2,N/A,3.51,no,yes,no,6,yes,no
no,no,2003,28,Female,2,3.23,N/A,no,no,yes,3,yes,no
no,no,2004,N/A,Male,2,3.74,N/A,yes,yes,yes,0,yes,no
yes,yes,1994,34,Female,2,2.46,3.7,yes,yes,yes,16 years,yes,yes
no,no,2003,24,Female,2,3.41,N/A,no,yes,yes,0,yes,no
no,no,2003,25,Female,2,3.85,N/A,no,no,yes,5 months,yes,no
yes,yes,2001,30,Female,2,2.29,3.83,yes,yes,yes,0,yes,no
yes,yes,2004,24,Female,1,3.3,N/A,no,no,yes,0,yes,yes
yes,yes,1998,48,Female,1,N/A,N/A,no,yes,yes,18,yes,yes
yes,yes,2003,26,Female,1,2.65,4,yes,yes,yes,8,yes,no
yes,yes,2004,32,Female,2,2.82,3.77,no,no,yes,8,yes,no
yes,yes,2003,29,Female,1,2.84,N/A,no,no,yes,0,yes,no
yes,yes,2003,36,Female,1,3.01,3.95,no,no,yes,5,yes,yes
